Blocks	Pathways
MAP3K13*RELA*NFKB1*BIRC5	hsa04010-hsa04625-TFTG
MAP3K13*RELA*STAT3*BIRC5	hsa04010-hsa04920-TFTG
MAP3K13*RELA*NFKB1*BIRC5	hsa04010-hsa04926-TFTG
MAP3K13*NFKB2*NFKB1*BIRC5	hsa04010-hsa04064-TFTG
MAP3K13*NFKB2*RELA*BIRC5	hsa04010-hsa04064-TFTG
MAP3K13*RELB*NFKB1*BIRC5	hsa04010-hsa04064-TFTG
MAP3K13*RELB*RELA*BIRC5	hsa04010-hsa04064-TFTG
MAP3K13*NFKB1*RELA*BIRC5	hsa04010-hsa04064-TFTG
MAP3K13*NFKB1*BIRC5	hsa04010-hsa04210
MAP3K13*NFKB1*RELA*BIRC5	hsa04010-hsa04625-TFTG
MAP3K13*NFKB1*STAT3*BIRC5	hsa04010-hsa04920-TFTG
MAP3K13*NFKB1*RELA*BIRC5	hsa04010-hsa04926-TFTG
MAP3K13*CRK*FOXO3*BIRC5	hsa04010-hsa04722-TFTG
MAP3K13*CRK*NFKB1*BIRC5	hsa04010-hsa04722-TFTG
MAP3K13*CRK*RELA*BIRC5	hsa04010-hsa04722-TFTG
MAP3K13*ARRB1*FOXO3*BIRC5	hsa04010-hsa04062-TFTG
MAP3K13*ARRB1*NFKB1*BIRC5	hsa04010-hsa04062-TFTG
MAP3K13*ARRB1*RELA*BIRC5	hsa04010-hsa04062-TFTG
MAP3K13*ARRB1*STAT3*BIRC5	hsa04010-hsa04062-TFTG
MAP3K13*TP53*TP73*BIRC5	hsa04010-hsa04115-TFTG
MAP3K13*TP53*LEF1*BIRC5	hsa04010-hsa04310-TFTG
MAP3K13*TP53*TCF7*BIRC5	hsa04010-hsa04310-TFTG
MAP3K13*TP53*TCF7L2*BIRC5	hsa04010-hsa04310-TFTG
MAP3K13*ARRB2*FOXO3*BIRC5	hsa04010-hsa04062-TFTG
MAP3K13*ARRB2*NFKB1*BIRC5	hsa04010-hsa04062-TFTG
MAP3K13*ARRB2*RELA*BIRC5	hsa04010-hsa04062-TFTG
MAP3K13*ARRB2*STAT3*BIRC5	hsa04010-hsa04062-TFTG
MAP3K13*ELK1*ACTG1*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*ELK1*TNF*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*FOS*NFKB1*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*JUN*CTNNB1*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*JUN*CTSL*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*JUN*PDPK1*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*JUN*TNF*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*MYC*ACTG1*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*MYC*CTSC*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*MYC*CTSF*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*MYC*GSK3B*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*MYC*PPP1CB*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*MYC*PPP2CA*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*MYC*PPP2R1B*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*MYC*WNT10B*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*MYC*YWHAE*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*MYC*YWHAH*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*NFATC3*CTSD*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*NFKB1*AKT1*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*NFKB1*AKT2*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*NFKB1*BIRC5	hsa04010-TFTG
MAP3K13*NFKB1*CTSB*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*NFKB1*GSK3B*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*NFKB1*NFKB1*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*NFKB1*NFKBIA*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*NFKB1*TNF*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*NFKB1*TRAF2*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*NFKB2*RELA*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*RELA*AKT1*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*RELA*AKT2*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*RELA*BIRC5	hsa04010-TFTG
MAP3K13*RELA*CTNNB1*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*RELA*CTSB*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*RELA*NFKB1*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*RELA*NFKBIA*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*RELA*TNF*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*RELA*TRAF2*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*TP53*AKT1*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*TP53*BIRC5	hsa04010-TFTG
MAP3K13*TP53*CHUK*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*TP53*CTNNB1*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*TP53*CTSD*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*TP53*NFKB1*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*TP53*RASSF1*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*TP53*RELA*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*TP53*TCF7L2*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*TP53*TNF*BIRC5	hsa04010-TFTG-hsa04210
MAP3K13*TP53*TP53BP2*BIRC5	hsa04010-TFTG-hsa04390
MAP3K13*RELA*JUN*MGP	hsa04010-hsa04926-TFTG
MAP3K13*NFKB1*JUN*MGP	hsa04010-hsa04926-TFTG
MAP3K13*TP53*JUN*MGP	hsa04010-hsa04310-TFTG
MAP3K13*JUN*MGP	hsa04010-TFTG
MAP3K13*TP53*MYC*RBBP8	hsa04010-hsa04310-TFTG
MAP3K13*JUN*BRCA1*RBBP8	hsa04010-TFTG-hsa03440
MAP3K13*MYC*ATM*RBBP8	hsa04010-TFTG-hsa03440
MAP3K13*MYC*BRCA1*RBBP8	hsa04010-TFTG-hsa03440
MAP3K13*MYC*RBBP8	hsa04010-TFTG
MAP3K13*NFKB1*BRCA1*RBBP8	hsa04010-TFTG-hsa03440
MAP3K13*RELA*BRCA1*RBBP8	hsa04010-TFTG-hsa03440
MAP3K13*TP53*BRCA1*RBBP8	hsa04010-TFTG-hsa03440
MED12*CTNNB1*MYC*UBE2C	hsa04919-hsa04310-TFTG
MED12*CTNNB1*MYC*UBE2C	hsa04919-hsa04390-TFTG
MED12*ACTG1*MYC*UBE2C	hsa04919-hsa04390-TFTG
MED12*ACTB*MYC*UBE2C	hsa04919-hsa04390-TFTG
MED12*WNT4*MYC*UBE2C	hsa04919-hsa04310-TFTG
MED12*WNT4*MYC*UBE2C	hsa04919-hsa04390-TFTG
MED12*WNT4*MYC*UBE2C	hsa04919-hsa04550-TFTG
MED12*MYC*UBE2C	hsa04919-TFTG
MED12*GATA4*IL5*IL6ST	hsa04919-TFTG-hsa04630
MED12*HIF1A*EPO*IL6ST	hsa04919-TFTG-hsa04630
MED12*HIF1A*LEP*IL6ST	hsa04919-TFTG-hsa04630
MED12*MYC*IFNA1*IL6ST	hsa04919-TFTG-hsa04630
MED12*MYC*IFNA13*IL6ST	hsa04919-TFTG-hsa04630
MED12*MYC*IL13*IL6ST	hsa04919-TFTG-hsa04630
MED12*MYC*IL2*IL6ST	hsa04919-TFTG-hsa04630
MED12*MYC*IL6*IL6ST	hsa04919-TFTG-hsa04060
MED12*MYC*IL6*IL6ST	hsa04919-TFTG-hsa04630
MED12*MYC*IL6*IL6ST	hsa04919-TFTG-hsa04659
MED12*RXRA*IL12B*IL6ST	hsa04919-TFTG-hsa04630
MED12*HIF1A*STC2	hsa04919-TFTG
