BlockName	Pathway	Length	Genes
hsa04010_MAP3K13_ATF4	hsa04010	7	ATF4*MAP2K1*MAP2K2*MAP2K7*MAP3K1*MAP3K13*MAPK1*MAPK3*MAPK8IP3*MKNK1*MKNK2*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6
hsa04010_MAP3K13_CRK	hsa04010	3	CRK*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_CRKL	hsa04010	3	CRKL*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_ELK1	hsa04010	3	ELK1*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_FOS	hsa04010	3	FOS*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_JUN	hsa04010	3	JUN*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_JUND	hsa04010	3	JUND*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_MYC	hsa04010	6	MAP2K1*MAP2K2*MAP2K7*MAP3K1*MAP3K13*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_MAP3K13_NFATC1	hsa04010	3	MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_MAP3K13_NFATC3	hsa04010	3	MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9*NFATC3
hsa04010_MAP3K13_NFKB1	hsa04010	5	CHUK*IKBKB*IKBKG*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3*NFKB1
hsa04010_MAP3K13_NFKB2	hsa04010	5	CHUK*IKBKB*IKBKG*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3*NFKB2
hsa04010_MAP3K13_RELA	hsa04010	5	CHUK*IKBKB*IKBKG*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3*RELA
hsa04010_MAP3K13_RELB	hsa04010	5	CHUK*IKBKB*IKBKG*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3*RELB
hsa04010_MAP3K13_TP53	hsa04010	3	MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9*TP53
hsa04010_MAP3K1_ARRB1	hsa04010	2	ARRB1*MAP2K4*MAP3K1
hsa04010_MAP3K1_ARRB2	hsa04010	2	ARRB2*MAP2K4*MAP3K1
hsa04010_MAP3K1_ATF4	hsa04010	4	ATF4*MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MKNK1*MKNK2*RPS6KA1*RPS6KA2*RPS6KA3*RPS6KA6
hsa04010_MAP3K1_CRK	hsa04010	2	CRK*MAP2K4*MAP3K1
hsa04010_MAP3K1_CRKL	hsa04010	2	CRKL*MAP2K4*MAP3K1
hsa04010_MAP3K1_ELK1	hsa04010	3	ELK1*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9
hsa04010_MAP3K1_FOS	hsa04010	3	FOS*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K1_JUN	hsa04010	3	JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K1_JUND	hsa04010	3	JUND*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K1_MYC	hsa04010	3	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC
hsa04010_MAP3K1_NFATC1	hsa04010	3	MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC1
hsa04010_MAP3K1_NFATC3	hsa04010	3	MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*NFATC3
