source	target
hsa04012	hsa04066
hsa04012	hsa04926
hsa04012	hsa04921
hsa04012	hsa04912
hsa04012	hsa04151
hsa04012	hsa04310
hsa04012	hsa04550
hsa04012	hsa04917
hsa04020	hsa04010
hsa04020	hsa04919
hsa04020	hsa04066
hsa04020	hsa04926
hsa04020	hsa04921
hsa04020	hsa04912
hsa04915	hsa04012
hsa04915	hsa04014
hsa04915	hsa04630
hsa04915	hsa04060
hsa04915	hsa04659
hsa04915	hsa00100
hsa04915	hsa04210
hsa04915	hsa04071
hsa04915	hsa04390
hsa04915	hsa04024
hsa04915	hsa03440
hsa04068	hsa04630
hsa04068	hsa04060
hsa04068	hsa04659
hsa04068	hsa04010
hsa04068	hsa04115
hsa04068	hsa04071
hsa04068	hsa04622
hsa04068	hsa04210
hsa04068	hsa04390
hsa04068	hsa03440
hsa04068	hsa04919
hsa04068	hsa04062
hsa04068	hsa04620
hsa04068	hsa04660
hsa04068	hsa04662
hsa04068	hsa04722
hsa04068	hsa04926
hsa04071	hsa04010
hsa04071	hsa04620
hsa04071	hsa04722
hsa04071	hsa04310
hsa04071	hsa04060
hsa04071	hsa04630
hsa04071	hsa04659
hsa04071	hsa04550
hsa04071	hsa04115
hsa04071	hsa04210
hsa04071	hsa04390
hsa04071	hsa03440
hsa04917	hsa04630
hsa04917	hsa04210
hsa04917	hsa04919
hsa04917	hsa04062
hsa04917	hsa04620
hsa04917	hsa04660
hsa04917	hsa04662
hsa04917	hsa04722
hsa04917	hsa04926
hsa04917	hsa04550
hsa04917	hsa04014
hsa04917	hsa04621
hsa04917	hsa04920
hsa04917	hsa04060
hsa04917	hsa04659
hsa04917	hsa04066
hsa04917	hsa04915
hsa04917	hsa00100
hsa04917	hsa04064
hsa04917	hsa04625
hsa04917	hsa04068
hsa04917	hsa04390
hsa04917	hsa03440
hsa04657	hsa04621
hsa04657	hsa04060
hsa04657	hsa04630
hsa04657	hsa04062
hsa04657	hsa04064
hsa04657	hsa04210
hsa04657	hsa04620
hsa04657	hsa04622
hsa04657	hsa04625
hsa04657	hsa04660
hsa04657	hsa04662
hsa04657	hsa04722
hsa04657	hsa04926
hsa04668	hsa04630
hsa04668	hsa04060
hsa04668	hsa04659
hsa04668	hsa04210
hsa04668	hsa04390
hsa04668	hsa04024
hsa04668	hsa03440
hsa04668	hsa04010
hsa04668	hsa04151
hsa04668	hsa04014
hsa04668	hsa04062
hsa04668	hsa04068
hsa04668	hsa04071
hsa04668	hsa04620
hsa04668	hsa04660
hsa04668	hsa04662
hsa04668	hsa04722
hsa04668	hsa04917
hsa04668	hsa04919
hsa04912	hsa04630
hsa04912	hsa04060
hsa04912	hsa04659
hsa04912	hsa04390
hsa04912	hsa04210
hsa04912	hsa04010
hsa04912	hsa04068
hsa04912	hsa04071
hsa04912	hsa04620
hsa04912	hsa04625
hsa04912	hsa04657
hsa04912	hsa04926
hsa04912	hsa03440
hsa04024	hsa04014
hsa04024	hsa04060
hsa04024	hsa04630
hsa04024	hsa04659
hsa04024	hsa04722
hsa04024	hsa04390
hsa04024	hsa04210
hsa04024	hsa03440
hsa04024	hsa04010
hsa04024	hsa04151
hsa04024	hsa04062
hsa04024	hsa04068
hsa04024	hsa04071
hsa04024	hsa04620
hsa04024	hsa04660
hsa04024	hsa04662
hsa04024	hsa04917
hsa04024	hsa04919
hsa04921	hsa04010
hsa04921	hsa04012
hsa04921	hsa04014
hsa04921	hsa04919
hsa04921	hsa04630
hsa04921	hsa04060
hsa04921	hsa04659
hsa04921	hsa04915
hsa04921	hsa04068
hsa04921	hsa04722
hsa04921	hsa04926
hsa04921	hsa04390
hsa04921	hsa04210
hsa04921	hsa04024
hsa04921	hsa04620
hsa04921	hsa04625
hsa04921	hsa04657
hsa04921	hsa04660
hsa04921	hsa04662
hsa04921	hsa03440
hsa04022	hsa04010
hsa04022	hsa04012
hsa04022	hsa04014
hsa04022	hsa04919
hsa04022	hsa04915
hsa04022	hsa04068
hsa04022	hsa04722
hsa04022	hsa04926
