,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
106,hsa04010_PRKCA+PRKCB+PRKCG_MYC+MYC+MYC,hsa04010,PRKCA;PRKCB;PRKCG,MYC;MYC;MYC,hsa04010_PRKCA_MYC;hsa04010_PRKCB_MYC;hsa04010_PRKCG_MYC
107,hsa04010_PRKCA+PRKCA+PRKCB+PRKCB+PRKCG+PRKCG_NFKB1+RELA+NFKB1+RELA+NFKB1+RELA,hsa04010,PRKCA;PRKCA;PRKCB;PRKCB;PRKCG;PRKCG,NFKB1;RELA;NFKB1;RELA;NFKB1;RELA,hsa04010_PRKCA_NFKB1;hsa04010_PRKCA_RELA;hsa04010_PRKCB_NFKB1;hsa04010_PRKCB_RELA;hsa04010_PRKCG_NFKB1;hsa04010_PRKCG_RELA
108,hsa04010_PRKCA+PRKCB+PRKCG_TP53+TP53+TP53,hsa04010,PRKCA;PRKCB;PRKCG,TP53;TP53;TP53,hsa04010_PRKCA_TP53;hsa04010_PRKCB_TP53;hsa04010_PRKCG_TP53
109,hsa04010_RAC1+RAC2+RAC3_JUN+JUN+JUN,hsa04010,RAC1;RAC2;RAC3,JUN;JUN;JUN,hsa04010_RAC1_JUN;hsa04010_RAC2_JUN;hsa04010_RAC3_JUN
110,hsa04010_RAC1+RAC2+RAC3_MYC+MYC+MYC,hsa04010,RAC1;RAC2;RAC3,MYC;MYC;MYC,hsa04010_RAC1_MYC;hsa04010_RAC2_MYC;hsa04010_RAC3_MYC
111,hsa04010_RAC1+RAC1+RAC2+RAC2+RAC3+RAC3_NFKB1+RELA+NFKB1+RELA+NFKB1+RELA,hsa04010,RAC1;RAC1;RAC2;RAC2;RAC3;RAC3,NFKB1;RELA;NFKB1;RELA;NFKB1;RELA,hsa04010_RAC1_NFKB1;hsa04010_RAC1_RELA;hsa04010_RAC2_NFKB1;hsa04010_RAC2_RELA;hsa04010_RAC3_NFKB1;hsa04010_RAC3_RELA
112,hsa04010_RAC1+RAC2+RAC3_TP53+TP53+TP53,hsa04010,RAC1;RAC2;RAC3,TP53;TP53;TP53,hsa04010_RAC1_TP53;hsa04010_RAC2_TP53;hsa04010_RAC3_TP53
113,hsa04010_RAF1_ATF4,hsa04010,RAF1,ATF4,hsa04010_RAF1_ATF4
114,hsa04010_RAF1_ELK1,hsa04010,RAF1,ELK1,hsa04010_RAF1_ELK1
115,hsa04010_RAF1_FOS,hsa04010,RAF1,FOS,hsa04010_RAF1_FOS
116,hsa04010_RAF1_MYC,hsa04010,RAF1,MYC,hsa04010_RAF1_MYC
117,hsa04010_RAP1A+RAP1B_MYC+MYC,hsa04010,RAP1A;RAP1B,MYC;MYC,hsa04010_RAP1A_MYC;hsa04010_RAP1B_MYC
118,hsa04010_TAB1+TAB1_NFKB1+RELA,hsa04010,TAB1;TAB1,NFKB1;RELA,hsa04010_TAB1_NFKB1;hsa04010_TAB1_RELA
119,hsa04010_TAB1_TP53,hsa04010,TAB1,TP53,hsa04010_TAB1_TP53
120,hsa04010_TAB2+TAB2_NFKB1+RELA,hsa04010,TAB2;TAB2,NFKB1;RELA,hsa04010_TAB2_NFKB1;hsa04010_TAB2_RELA
121,hsa04010_TAB2_TP53,hsa04010,TAB2,TP53,hsa04010_TAB2_TP53
122,hsa04010_TNF_JUN,hsa04010,TNF,JUN,hsa04010_TNF_JUN
123,hsa04010_TNF_MYC,hsa04010,TNF,MYC,hsa04010_TNF_MYC
124,hsa04010_TNF+TNF_NFKB1+RELA,hsa04010,TNF;TNF,NFKB1;RELA,hsa04010_TNF_NFKB1;hsa04010_TNF_RELA
125,hsa04010_TNF_TP53,hsa04010,TNF,TP53,hsa04010_TNF_TP53
126,hsa04010_TRAF2_JUN,hsa04010,TRAF2,JUN,hsa04010_TRAF2_JUN
127,hsa04010_TRAF2_MYC,hsa04010,TRAF2,MYC,hsa04010_TRAF2_MYC
128,hsa04010_TRAF2+TRAF2_NFKB1+RELA,hsa04010,TRAF2;TRAF2,NFKB1;RELA,hsa04010_TRAF2_NFKB1;hsa04010_TRAF2_RELA
129,hsa04010_TRAF2_TP53,hsa04010,TRAF2,TP53,hsa04010_TRAF2_TP53
130,hsa04012_AKT1+AKT2_GSK3B+GSK3B,hsa04012,AKT1;AKT2,GSK3B;GSK3B,hsa04012_AKT1_GSK3B;hsa04012_AKT2_GSK3B
131,hsa04012_AREG_JUN,hsa04012,AREG,JUN,hsa04012_AREG_JUN
132,hsa04012_AREG_MYC,hsa04012,AREG,MYC,hsa04012_AREG_MYC
133,hsa04012_AREG+AREG_STAT5A+STAT5B,hsa04012,AREG;AREG,STAT5A;STAT5B,hsa04012_AREG_STAT5A;hsa04012_AREG_STAT5B
134,hsa04012_BUB1B-PAK6+PAK1+PAK2+PAK3+PAK4+PAK5+PAK6_JUN+JUN+JUN+JUN+JUN+JUN+JUN,hsa04012,BUB1B-PAK6;PAK1;PAK2;PAK3;PAK4;PAK5;PAK6,JUN;JUN;JUN;JUN;JUN;JUN;JUN,hsa04012_BUB1B-PAK6_JUN;hsa04012_PAK1_JUN;hsa04012_PAK2_JUN;hsa04012_PAK3_JUN;hsa04012_PAK4_JUN;hsa04012_PAK5_JUN;hsa04012_PAK6_JUN
135,hsa04012_ERBB2_ELK1,hsa04012,ERBB2,ELK1,hsa04012_ERBB2_ELK1
136,hsa04012_ERBB2_GSK3B,hsa04012,ERBB2,GSK3B,hsa04012_ERBB2_GSK3B
137,hsa04012_ERBB2_MYC,hsa04012,ERBB2,MYC,hsa04012_ERBB2_MYC
138,hsa04012_ERBB4_ELK1,hsa04012,ERBB4,ELK1,hsa04012_ERBB4_ELK1
139,hsa04012_ERBB4_GSK3B,hsa04012,ERBB4,GSK3B,hsa04012_ERBB4_GSK3B
140,hsa04012_ERBB4_MYC,hsa04012,ERBB4,MYC,hsa04012_ERBB4_MYC
141,hsa04012_ERBB4+ERBB4_STAT5A+STAT5B,hsa04012,ERBB4;ERBB4,STAT5A;STAT5B,hsa04012_ERBB4_STAT5A;hsa04012_ERBB4_STAT5B
142,hsa04012_HRAS+KRAS_ELK1+ELK1,hsa04012,HRAS;KRAS,ELK1;ELK1,hsa04012_HRAS_ELK1;hsa04012_KRAS_ELK1
143,hsa04012_HRAS+KRAS_MYC+MYC,hsa04012,HRAS;KRAS,MYC;MYC,hsa04012_HRAS_MYC;hsa04012_KRAS_MYC
144,hsa04012_MAP2K1+MAP2K2_ELK1+ELK1,hsa04012,MAP2K1;MAP2K2,ELK1;ELK1,hsa04012_MAP2K1_ELK1;hsa04012_MAP2K2_ELK1
145,hsa04012_MAP2K1+MAP2K2_MYC+MYC,hsa04012,MAP2K1;MAP2K2,MYC;MYC,hsa04012_MAP2K1_MYC;hsa04012_MAP2K2_MYC
146,hsa04012_MAP2K4_ELK1,hsa04012,MAP2K4,ELK1,hsa04012_MAP2K4_ELK1
147,hsa04012_MAP2K4_JUN,hsa04012,MAP2K4,JUN,hsa04012_MAP2K4_JUN
148,hsa04012_MAPK10+MAPK8+MAPK9_JUN+JUN+JUN,hsa04012,MAPK10;MAPK8;MAPK9,JUN;JUN;JUN,hsa04012_MAPK10_JUN;hsa04012_MAPK8_JUN;hsa04012_MAPK9_JUN
149,hsa04012_MAPK1+MAPK3_MYC+MYC,hsa04012,MAPK1;MAPK3,MYC;MYC,hsa04012_MAPK1_MYC;hsa04012_MAPK3_MYC
150,hsa04012_PIK3CA+PIK3R1_GSK3B+GSK3B,hsa04012,PIK3CA;PIK3R1,GSK3B;GSK3B,hsa04012_PIK3CA_GSK3B;hsa04012_PIK3R1_GSK3B
151,hsa04012_PLCG1+PLCG1+PLCG1+PLCG1_CAMK2A+CAMK2B+CAMK2D+CAMK2G,hsa04012,PLCG1;PLCG1;PLCG1;PLCG1,CAMK2A;CAMK2B;CAMK2D;CAMK2G,hsa04012_PLCG1_CAMK2A;hsa04012_PLCG1_CAMK2B;hsa04012_PLCG1_CAMK2D;hsa04012_PLCG1_CAMK2G
152,hsa04012_PLCG1+PLCG1+PLCG1_PRKCA+PRKCB+PRKCG,hsa04012,PLCG1;PLCG1;PLCG1,PRKCA;PRKCB;PRKCG,hsa04012_PLCG1_PRKCA;hsa04012_PLCG1_PRKCB;hsa04012_PLCG1_PRKCG
153,hsa04012_RAF1_ELK1,hsa04012,RAF1,ELK1,hsa04012_RAF1_ELK1
154,hsa04012_RAF1_MYC,hsa04012,RAF1,MYC,hsa04012_RAF1_MYC
155,hsa04012_TGFA_JUN,hsa04012,TGFA,JUN,hsa04012_TGFA_JUN
156,hsa04012_TGFA_MYC,hsa04012,TGFA,MYC,hsa04012_TGFA_MYC
