source	target
hsa04912	hsa04666
hsa04912	hsa00232
hsa04912	hsa04722
hsa04912	hsa04210
hsa04912	hsa04261
hsa04912	hsa04141
hsa04912	hsa04064
hsa04912	hsa04140
hsa04912	hsa04072
hsa04912	hsa04540
hsa04912	hsa04725
hsa04926	hsa04218
hsa04926	hsa04115
hsa04926	hsa04151
hsa04926	hsa04919
hsa04926	hsa04625
hsa04926	hsa04066
hsa04926	hsa04630
hsa04926	hsa04912
hsa04926	hsa04915
hsa04926	hsa04010
hsa04926	hsa04014
hsa04926	hsa04015
hsa04926	hsa04020
hsa04926	hsa04921
hsa04926	hsa04928
hsa04926	hsa04510
hsa04926	hsa04810
hsa04926	hsa04144
hsa04926	hsa04110
hsa04926	hsa04310
hsa04926	hsa04350
hsa04926	hsa04390
hsa04926	hsa04012
hsa04926	hsa04550
hsa04926	hsa00230
hsa04926	hsa00983
hsa04926	hsa04114
hsa04926	hsa04068
hsa04926	hsa04530
hsa04926	hsa04666
hsa04926	hsa00232
hsa04926	hsa04917
hsa04926	hsa04210
hsa04926	hsa04064
hsa04926	hsa04261
hsa04926	hsa04141
hsa04926	hsa04722
hsa04926	hsa04140
hsa04926	hsa04071
hsa04926	hsa04370
hsa04926	hsa04024
hsa04926	hsa04620
hsa04926	hsa04657
hsa04926	hsa04660
hsa04926	hsa04662
hsa04926	hsa04668
hsa04926	hsa04371
hsa04926	hsa04621
hsa04926	hsa04920
hsa04926	hsa04072
hsa04926	hsa04540
hsa04926	hsa00240
hsa04926	hsa04725
hsa04926	hsa00860
hsa04926	hsa04910
hsa04024	hsa04014
hsa04024	hsa04722
hsa04024	hsa04151
hsa04024	hsa04218
hsa04024	hsa04115
hsa04024	hsa04919
hsa04024	hsa04625
hsa04024	hsa04922
hsa04024	hsa04010
hsa04024	hsa04012
hsa04024	hsa04630
hsa04024	hsa04928
hsa04024	hsa04020
hsa04024	hsa04912
hsa04024	hsa04066
hsa04024	hsa04015
hsa04024	hsa04072
hsa04024	hsa04810
hsa04024	hsa04915
hsa04024	hsa04510
hsa04024	hsa04921
hsa04024	hsa04144
hsa04024	hsa04110
hsa04024	hsa04310
hsa04024	hsa04390
hsa04024	hsa04550
hsa04024	hsa04350
hsa04024	hsa00230
hsa04024	hsa00240
hsa04024	hsa00983
hsa04024	hsa04114
hsa04024	hsa04068
hsa04024	hsa04530
hsa04024	hsa04666
hsa04024	hsa00232
hsa04024	hsa04917
hsa04024	hsa04210
hsa04024	hsa04725
hsa04024	hsa04064
hsa04024	hsa04071
hsa04024	hsa04261
hsa04024	hsa04141
hsa04024	hsa04140
hsa04024	hsa00860
hsa04024	hsa04660
hsa04024	hsa04062
hsa04024	hsa04152
hsa04024	hsa04371
hsa04024	hsa04620
hsa04024	hsa04662
hsa04024	hsa04910
hsa04115	hsa04010
hsa04115	hsa04014
hsa04115	hsa04310
hsa04115	hsa04151
hsa04115	hsa04625
hsa04115	hsa04919
hsa04115	hsa04218
hsa04115	hsa04144
hsa04115	hsa04015
hsa04115	hsa04066
hsa04115	hsa04510
hsa04115	hsa04152
hsa04115	hsa04928
hsa04115	hsa04915
hsa04115	hsa04020
hsa04115	hsa04810
hsa04115	hsa04630
hsa04115	hsa04912
hsa04115	hsa04012
hsa04115	hsa04110
hsa04115	hsa04068
hsa04115	hsa04390
hsa04115	hsa04350
hsa04115	hsa04550
hsa04115	hsa00230
hsa04115	hsa00240
hsa04115	hsa00983
hsa04115	hsa04114
hsa04115	hsa04530
hsa04115	hsa04666
hsa04115	hsa04917
hsa04115	hsa04210
hsa04115	hsa04071
hsa04115	hsa04725
hsa04115	hsa04064
hsa04115	hsa04340
hsa04115	hsa04722
hsa04115	hsa04140
hsa04151	hsa04625
hsa04151	hsa04660
hsa04151	hsa04926
hsa04151	hsa04010
hsa04151	hsa04012
hsa04151	hsa04014
hsa04151	hsa04024
hsa04151	hsa04218
hsa04151	hsa04620
hsa04151	hsa04657
hsa04151	hsa04662
hsa04151	hsa04915
hsa04151	hsa04919
hsa04151	hsa04921
hsa04151	hsa04668
hsa04151	hsa04062
