,BlockName,Pathway,Sources,Targets,SubpathwayBlocks
75,hsa00983_NME1+NME2+NME6_RRM2+RRM2+RRM2,hsa00983,NME1;NME2;NME6,RRM2;RRM2;RRM2,hsa00983_NME1_RRM2;hsa00983_NME2_RRM2;hsa00983_NME6_RRM2
76,hsa00983_RRM1+RRM2B_RRM2+RRM2,hsa00983,RRM1;RRM2B,RRM2;RRM2,hsa00983_RRM1_RRM2;hsa00983_RRM2B_RRM2
77,hsa00983_TK1+TK2_RRM2+RRM2,hsa00983,TK1;TK2,RRM2;RRM2,hsa00983_TK1_RRM2;hsa00983_TK2_RRM2
78,hsa00983_TYMP_RRM2,hsa00983,TYMP,RRM2,hsa00983_TYMP_RRM2
79,hsa00983_UCK1+UCK2+UCKL1_RRM2+RRM2+RRM2,hsa00983,UCK1;UCK2;UCKL1,RRM2;RRM2;RRM2,hsa00983_UCK1_RRM2;hsa00983_UCK2_RRM2;hsa00983_UCKL1_RRM2
80,hsa00983_UMPS_RRM2,hsa00983,UMPS,RRM2,hsa00983_UMPS_RRM2
81,hsa00983_UPP1_RRM2,hsa00983,UPP1,RRM2,hsa00983_UPP1_RRM2
82,hsa04010_AKT1+AKT1+AKT2+AKT2_ARRB1+ARRB2+ARRB1+ARRB2,hsa04010,AKT1;AKT1;AKT2;AKT2,ARRB1;ARRB2;ARRB1;ARRB2,hsa04010_AKT1_ARRB1;hsa04010_AKT1_ARRB2;hsa04010_AKT2_ARRB1;hsa04010_AKT2_ARRB2
83,hsa04010_AKT1+AKT2_ATF2+ATF2,hsa04010,AKT1;AKT2,ATF2;ATF2,hsa04010_AKT1_ATF2;hsa04010_AKT2_ATF2
84,hsa04010_AKT1+AKT2+AKT3_ATF4+ATF4+ATF4,hsa04010,AKT1;AKT2;AKT3,ATF4;ATF4;ATF4,hsa04010_AKT1_ATF4;hsa04010_AKT2_ATF4;hsa04010_AKT3_ATF4
85,hsa04010_AKT1+AKT2_CDC25B+CDC25B,hsa04010,AKT1;AKT2,CDC25B;CDC25B,hsa04010_AKT1_CDC25B;hsa04010_AKT2_CDC25B
86,hsa04010_AKT1+AKT1+AKT2+AKT2_CRK+CRKL+CRK+CRKL,hsa04010,AKT1;AKT1;AKT2;AKT2,CRK;CRKL;CRK;CRKL,hsa04010_AKT1_CRK;hsa04010_AKT1_CRKL;hsa04010_AKT2_CRK;hsa04010_AKT2_CRKL
87,hsa04010_AKT1+AKT2_DDIT3+DDIT3,hsa04010,AKT1;AKT2,DDIT3;DDIT3,hsa04010_AKT1_DDIT3;hsa04010_AKT2_DDIT3
88,hsa04010_AKT1+AKT2+AKT3_ELK1+ELK1+ELK1,hsa04010,AKT1;AKT2;AKT3,ELK1;ELK1;ELK1,hsa04010_AKT1_ELK1;hsa04010_AKT2_ELK1;hsa04010_AKT3_ELK1
89,hsa04010_AKT1+AKT2_ELK4+ELK4,hsa04010,AKT1;AKT2,ELK4;ELK4,hsa04010_AKT1_ELK4;hsa04010_AKT2_ELK4
90,hsa04010_AKT1+AKT1+AKT1+AKT2+AKT2+AKT2_FLNA+FLNB+FLNC+FLNA+FLNB+FLNC,hsa04010,AKT1;AKT1;AKT1;AKT2;AKT2;AKT2,FLNA;FLNB;FLNC;FLNA;FLNB;FLNC,hsa04010_AKT1_FLNA;hsa04010_AKT1_FLNB;hsa04010_AKT1_FLNC;hsa04010_AKT2_FLNA;hsa04010_AKT2_FLNB;hsa04010_AKT2_FLNC
91,hsa04010_AKT1+AKT1+AKT2+AKT2+AKT3+AKT3_FOS+JUN+FOS+JUN+FOS+JUN,hsa04010,AKT1;AKT1;AKT2;AKT2;AKT3;AKT3,FOS;JUN;FOS;JUN;FOS;JUN,hsa04010_AKT1_FOS;hsa04010_AKT1_JUN;hsa04010_AKT2_FOS;hsa04010_AKT2_JUN;hsa04010_AKT3_FOS;hsa04010_AKT3_JUN
92,hsa04010_AKT1+AKT2+AKT3_JUND+JUND+JUND,hsa04010,AKT1;AKT2;AKT3,JUND;JUND;JUND,hsa04010_AKT1_JUND;hsa04010_AKT2_JUND;hsa04010_AKT3_JUND
93,hsa04010_AKT1+AKT2+AKT3_MAPT+MAPT+MAPT,hsa04010,AKT1;AKT2;AKT3,MAPT;MAPT;MAPT,hsa04010_AKT1_MAPT;hsa04010_AKT2_MAPT;hsa04010_AKT3_MAPT
94,hsa04010_AKT1+AKT2+AKT3_MAX+MAX+MAX,hsa04010,AKT1;AKT2;AKT3,MAX;MAX;MAX,hsa04010_AKT1_MAX;hsa04010_AKT2_MAX;hsa04010_AKT3_MAX
95,hsa04010_AKT1+AKT2_MEF2C+MEF2C,hsa04010,AKT1;AKT2,MEF2C;MEF2C,hsa04010_AKT1_MEF2C;hsa04010_AKT2_MEF2C
96,hsa04010_AKT1+AKT2+AKT3_MYC+MYC+MYC,hsa04010,AKT1;AKT2;AKT3,MYC;MYC;MYC,hsa04010_AKT1_MYC;hsa04010_AKT2_MYC;hsa04010_AKT3_MYC
97,hsa04010_AKT1+AKT2+AKT3_NFATC1+NFATC1+NFATC1,hsa04010,AKT1;AKT2;AKT3,NFATC1;NFATC1;NFATC1,hsa04010_AKT1_NFATC1;hsa04010_AKT2_NFATC1;hsa04010_AKT3_NFATC1
98,hsa04010_AKT1+AKT2_NFATC3+NFATC3,hsa04010,AKT1;AKT2,NFATC3;NFATC3,hsa04010_AKT1_NFATC3;hsa04010_AKT2_NFATC3
99,hsa04010_AKT1+AKT1+AKT1+AKT1+AKT2+AKT2+AKT2+AKT2+AKT3+AKT3+AKT3_NFKB1+NFKB2+RELA+RELB+NFKB1+NFKB2+RELA+RELB+NFKB1+NFKB2+RELA,hsa04010,AKT1;AKT1;AKT1;AKT1;AKT2;AKT2;AKT2;AKT2;AKT3;AKT3;AKT3,NFKB1;NFKB2;RELA;RELB;NFKB1;NFKB2;RELA;RELB;NFKB1;NFKB2;RELA,hsa04010_AKT1_NFKB1;hsa04010_AKT1_NFKB2;hsa04010_AKT1_RELA;hsa04010_AKT1_RELB;hsa04010_AKT2_NFKB1;hsa04010_AKT2_NFKB2;hsa04010_AKT2_RELA;hsa04010_AKT2_RELB;hsa04010_AKT3_NFKB1;hsa04010_AKT3_NFKB2;hsa04010_AKT3_RELA
100,hsa04010_AKT1+AKT2+AKT3_TP53+TP53+TP53,hsa04010,AKT1;AKT2;AKT3,TP53;TP53;TP53,hsa04010_AKT1_TP53;hsa04010_AKT2_TP53;hsa04010_AKT3_TP53
101,hsa04010_ANGPT2+ANGPT2+ANGPT2+AREG+AREG+AREG+BDNF+BDNF+BDNF+CSF1+CSF1+CSF1+EFNA1+EFNA1+EFNA1+EFNA3+EFNA3+EFNA3+EFNA4+EFNA4+EFNA4+EFNA5+EFNA5+EFNA5+EGF+EGF+EGF+FGF10+FGF10+FGF10+FGF16+FGF16+FGF16+FGF18+FGF18+FGF18+FGF19+FGF19+FGF19+FGF1+FGF1+FGF1+FGF20+FGF20+FGF20+FGF21+FGF21+FGF21+FGF2+FGF2+FGF2+FGF4+FGF4+FGF4+FGF7+FGF7+FGF7+FGF8+FGF8+FGF8+FGF9+FGF9+FGF9+FLT3LG+FLT3LG+FLT3LG+HGF+HGF+HGF+IGF1+IGF1+IGF1+IGF2+IGF2+IGF2+INS+INS+INS+NGF+NGF+NGF+NTF3+NTF3+NTF3+PDGFA+PDGFA+PDGFA+PDGFB+PDGFB+PDGFB+PDGFC+PDGFC+PDGFC+PGF+PGF+PGF+TGFA+TGFA+TGFA+VEGFA+VEGFA+VEGFA+VEGFB+VEGFB+VEGFB+VEGFC+VEGFC+VEGFC+VEGFD+VEGFD+VEGFD_EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4+EGFR+ERBB2+FGFR4,hsa04010,ANGPT2;ANGPT2;ANGPT2;AREG;AREG;AREG;BDNF;BDNF;BDNF;CSF1;CSF1;CSF1;EFNA1;EFNA1;EFNA1;EFNA3;EFNA3;EFNA3;EFNA4;EFNA4;EFNA4;EFNA5;EFNA5;EFNA5;EGF;EGF;EGF;FGF10;FGF10;FGF10;FGF16;FGF16;FGF16;FGF18;FGF18;FGF18;FGF19;FGF19;FGF19;FGF1;FGF1;FGF1;FGF20;FGF20;FGF20;FGF21;FGF21;FGF21;FGF2;FGF2;FGF2;FGF4;FGF4;FGF4;FGF7;FGF7;FGF7;FGF8;FGF8;FGF8;FGF9;FGF9;FGF9;FLT3LG;FLT3LG;FLT3LG;HGF;HGF;HGF;IGF1;IGF1;IGF1;IGF2;IGF2;IGF2;INS;INS;INS;NGF;NGF;NGF;NTF3;NTF3;NTF3;PDGFA;PDGFA;PDGFA;PDGFB;PDGFB;PDGFB;PDGFC;PDGFC;PDGFC;PGF;PGF;PGF;TGFA;TGFA;TGFA;VEGFA;VEGFA;VEGFA;VEGFB;VEGFB;VEGFB;VEGFC;VEGFC;VEGFC;VEGFD;VEGFD;VEGFD,EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4;EGFR;ERBB2;FGFR4,hsa04010_ANGPT2_EGFR;hsa04010_ANGPT2_ERBB2;hsa04010_ANGPT2_FGFR4;hsa04010_AREG_EGFR;hsa04010_AREG_ERBB2;hsa04010_AREG_FGFR4;hsa04010_BDNF_EGFR;hsa04010_BDNF_ERBB2;hsa04010_BDNF_FGFR4;hsa04010_CSF1_EGFR;hsa04010_CSF1_ERBB2;hsa04010_CSF1_FGFR4;hsa04010_EFNA1_EGFR;hsa04010_EFNA1_ERBB2;hsa04010_EFNA1_FGFR4;hsa04010_EFNA3_EGFR;hsa04010_EFNA3_ERBB2;hsa04010_EFNA3_FGFR4;hsa04010_EFNA4_EGFR;hsa04010_EFNA4_ERBB2;hsa04010_EFNA4_FGFR4;hsa04010_EFNA5_EGFR;hsa04010_EFNA5_ERBB2;hsa04010_EFNA5_FGFR4;hsa04010_EGF_EGFR;hsa04010_EGF_ERBB2;hsa04010_EGF_FGFR4;hsa04010_FGF10_EGFR;hsa04010_FGF10_ERBB2;hsa04010_FGF10_FGFR4;hsa04010_FGF16_EGFR;hsa04010_FGF16_ERBB2;hsa04010_FGF16_FGFR4;hsa04010_FGF18_EGFR;hsa04010_FGF18_ERBB2;hsa04010_FGF18_FGFR4;hsa04010_FGF19_EGFR;hsa04010_FGF19_ERBB2;hsa04010_FGF19_FGFR4;hsa04010_FGF1_EGFR;hsa04010_FGF1_ERBB2;hsa04010_FGF1_FGFR4;hsa04010_FGF20_EGFR;hsa04010_FGF20_ERBB2;hsa04010_FGF20_FGFR4;hsa04010_FGF21_EGFR;hsa04010_FGF21_ERBB2;hsa04010_FGF21_FGFR4;hsa04010_FGF2_EGFR;hsa04010_FGF2_ERBB2;hsa04010_FGF2_FGFR4;hsa04010_FGF4_EGFR;hsa04010_FGF4_ERBB2;hsa04010_FGF4_FGFR4;hsa04010_FGF7_EGFR;hsa04010_FGF7_ERBB2;hsa04010_FGF7_FGFR4;hsa04010_FGF8_EGFR;hsa04010_FGF8_ERBB2;hsa04010_FGF8_FGFR4;hsa04010_FGF9_EGFR;hsa04010_FGF9_ERBB2;hsa04010_FGF9_FGFR4;hsa04010_FLT3LG_EGFR;hsa04010_FLT3LG_ERBB2;hsa04010_FLT3LG_FGFR4;hsa04010_HGF_EGFR;hsa04010_HGF_ERBB2;hsa04010_HGF_FGFR4;hsa04010_IGF1_EGFR;hsa04010_IGF1_ERBB2;hsa04010_IGF1_FGFR4;hsa04010_IGF2_EGFR;hsa04010_IGF2_ERBB2;hsa04010_IGF2_FGFR4;hsa04010_INS_EGFR;hsa04010_INS_ERBB2;hsa04010_INS_FGFR4;hsa04010_NGF_EGFR;hsa04010_NGF_ERBB2;hsa04010_NGF_FGFR4;hsa04010_NTF3_EGFR;hsa04010_NTF3_ERBB2;hsa04010_NTF3_FGFR4;hsa04010_PDGFA_EGFR;hsa04010_PDGFA_ERBB2;hsa04010_PDGFA_FGFR4;hsa04010_PDGFB_EGFR;hsa04010_PDGFB_ERBB2;hsa04010_PDGFB_FGFR4;hsa04010_PDGFC_EGFR;hsa04010_PDGFC_ERBB2;hsa04010_PDGFC_FGFR4;hsa04010_PGF_EGFR;hsa04010_PGF_ERBB2;hsa04010_PGF_FGFR4;hsa04010_TGFA_EGFR;hsa04010_TGFA_ERBB2;hsa04010_TGFA_FGFR4;hsa04010_VEGFA_EGFR;hsa04010_VEGFA_ERBB2;hsa04010_VEGFA_FGFR4;hsa04010_VEGFB_EGFR;hsa04010_VEGFB_ERBB2;hsa04010_VEGFB_FGFR4;hsa04010_VEGFC_EGFR;hsa04010_VEGFC_ERBB2;hsa04010_VEGFC_FGFR4;hsa04010_VEGFD_EGFR;hsa04010_VEGFD_ERBB2;hsa04010_VEGFD_FGFR4
102,hsa04010_ARAF_MAPT,hsa04010,ARAF,MAPT,hsa04010_ARAF_MAPT
103,hsa04010_ARAF_MYC,hsa04010,ARAF,MYC,hsa04010_ARAF_MYC
104,hsa04010_BRAF_MAPT,hsa04010,BRAF,MAPT,hsa04010_BRAF_MAPT
