BlockName	Pathway	Length	Genes
hsa04010_MAP2K4_NFKB1	hsa04010	4	CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB1
hsa04010_MAP2K4_NFKB2	hsa04010	4	CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*NFKB2
hsa04010_MAP2K4_RELA	hsa04010	4	CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELA
hsa04010_MAP2K4_RELB	hsa04010	4	CHUK*IKBKB*IKBKG*MAP2K4*MAP3K1*MAPK8IP3*RELB
hsa04010_MAP3K13_ARRB1	hsa04010	5	ARRB1*MAP2K4*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3
hsa04010_MAP3K13_ARRB2	hsa04010	5	ARRB2*MAP2K4*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3
hsa04010_MAP3K13_CRK	hsa04010	3	CRK*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_CRKL	hsa04010	3	CRKL*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_ELK1	hsa04010	3	ELK1*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_JUN	hsa04010	3	JUN*MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K13_MYC	hsa04010	6	MAP2K1*MAP2K2*MAP2K7*MAP3K1*MAP3K13*MAPK1*MAPK3*MAPK8IP3*MYC
hsa04010_MAP3K13_NFKB1	hsa04010	5	CHUK*IKBKB*IKBKG*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3*NFKB1
hsa04010_MAP3K13_NFKB2	hsa04010	5	CHUK*IKBKB*IKBKG*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3*NFKB2
hsa04010_MAP3K13_RELA	hsa04010	5	CHUK*IKBKB*IKBKG*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3*RELA
hsa04010_MAP3K13_RELB	hsa04010	5	CHUK*IKBKB*IKBKG*MAP2K7*MAP3K1*MAP3K13*MAPK8IP3*RELB
hsa04010_MAP3K13_TP53	hsa04010	3	MAP2K7*MAP3K13*MAPK10*MAPK8*MAPK9*TP53
hsa04010_MAP3K1_ELK1	hsa04010	3	ELK1*MAP2K1*MAP2K2*MAP2K4*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8*MAPK9
hsa04010_MAP3K1_JUN	hsa04010	3	JUN*MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9
hsa04010_MAP3K1_MYC	hsa04010	3	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MYC
hsa04010_MAP3K1_TP53	hsa04010	3	MAP2K4*MAP3K1*MAPK10*MAPK8*MAPK9*TP53
hsa04010_MAPK10_MYC	hsa04010	5	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK10*MAPK3*MAPK8IP3*MYC
hsa04010_MAPK10_NFKB1	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK10*MAPK8IP3*NFKB1
hsa04010_MAPK10_RELA	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK10*MAPK8IP3*RELA
hsa04010_MAPK8_MYC	hsa04010	5	MAP2K1*MAP2K2*MAP3K1*MAPK1*MAPK3*MAPK8*MAPK8IP3*MYC
hsa04010_MAPK8_NFKB1	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK8*MAPK8IP3*NFKB1
hsa04010_MAPK8_RELA	hsa04010	4	CHUK*IKBKB*IKBKG*MAP3K1*MAPK8*MAPK8IP3*RELA
